OBJECTID_1,SABL_PWSID,BOUNDARY_TYPE,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,ACTIVITY_STATUS_CD,ACTIVITY_DATE,OWNER_TYPE_CODE,COUNTY,POPULATION,REGULATING_AGENCY,FEDERAL_CLASSIFICATION,STATE_CLASSIFICATION,ADDR_LINE_ONE_TXT,ADDR_LINE_TWO_TXT,ADDRESS_CITY_NAME,ADDRESS_STATE_CODE,ADDRESS_ZIP_CODE,SERVICE_CONNECTIONS,GLOBALID,AC_PHONE_NUMBER,AC_EMAIL,BOUNDARY_FILETYPE,DT_VERIFIED,VERIFIED_STATUS,VERIFIED_NAME,VERIFIED_TYPE,Shape__Area,Shape__Length
3720193,CA1100445,Water Service Area,CA1100445,ORLAND MOBILE H.P.,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,133,A ,1986/03/28 08:00:00+00,P ,GLENN,178,DISTRICT 21 - VALLEY,COMMUNITY,COMMUNITY,4265 ROAD 99 WEST,P.O. BOX 1721,ORLAND,CA  ,95963,54,{C55304A3-632E-4D80-BFAB-5EB8C1D42154},916-813-3158                  ,karbuckle3186@hotmail.com,WBT Tool,,Not Verified,,,36576.63873425,790.599914970197
3720194,CA3200054,Water Service Area,CA3200054,BIG MEADOWS SUBDIVISION,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,134,A ,2016/02/18 08:00:00+00,P ,PLUMAS,11,LPA62 - PLUMAS COUNTY,NON-PUBLIC,STATE SMALL WATER SYSTEM,BIG MEADOWS SUBDIVISION, ,CANYON DAM,CA  ,95923,18,{6E33C2FD-A4B2-4973-957C-F648D844B33A},530-518-4956                  ,,WBT Tool,,Not Verified,,,330678.84246776,2164.95369862215
3720195,CA5201140,Water Service Area,CA5201140,ANTOINETTE MUTUAL WATER CO,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,135,A ,2016/08/03 07:00:00+00,P ,TEHAMA,25,LPA82 - TEHAMA COUNTY,COMMUNITY,COMMUNITY,507 ANTOINETTE COURT, ,RED BLUFF,CA  ,96080,12,{20D7FAF1-9200-49D2-887E-3DD874D44C94},530-736-2321                  ,asanders6677@gmail.com,WBT Tool,,Not Verified,,,84790.249516365,1169.71816579932
3720196,CA1910234,Water Service Area,CA1910234,WALNUT VALLEY WATER DISTRICT,SBUCKNAM,2020/10/20 03:20:27+00,epa\gisservice,2023/10/05 04:30:06+00,136,A ,1976/01/01 08:00:00+00,L ,LOS ANGELES,100941,DISTRICT 16 - CENTRAL,COMMUNITY,COMMUNITY,271 S. BREA CANYON ROAD, ,WALNUT,CA  ,91789,27149,{BC2DEDCE-A625-4EB9-8ACC-A15A22AA021C},909-595-1268                  ,sshaw@walnutvalleywater.gov,WBT Tool,2023/10/04 14:00:00+00,Verified,E. Hitchman,Water System representative,115205380.685433,60654.8918583652
3720197,CA3710047,Water Service Area,CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,138,A ,1976/01/01 08:00:00+00,L ,SAN DIEGO,500,DISTRICT 26 - IMPERIAL,COMMUNITY,COMMUNITY,Campo Hills - County Public Works,3215 White Sage Point,CAMPO,CA  ,91906,222,{94A85A29-2229-410A-81AA-2D5E268901B2},619-660-2008                  ,mike.bedard@sdcounty.ca.gov,WBT Tool,,Not Verified,,,2536636.37088934,11756.2554142118
3720198,CA1500452,Water Service Area,CA1500452,RIVERDALE VILLAGE,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,141,A ,1979/03/22 08:00:00+00,P ,KERN,750,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,811 ROBERTS LANE, ,BAKERSFIELD,CA  ,93308,290,{88118376-F208-469B-820D-B9969C1262B9},661-379-1843                  ,maintenance@storzco.com,WBT Tool,2020/04/17 07:00:00+00,Verified,V. Nunez,Water System representative,229183.816255415,1908.21310346244
3720199,CA4400692,Water Service Area,CA4400692,ALLAN LANE WATER ASSOCIATION,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,142,A ,2015/01/29 08:00:00+00,P ,SANTA CRUZ,54,LPA74 - SANTA CRUZ COUNTY,COMMUNITY,COMMUNITY,283 Allan Lane, ,CORRALITOS,CA  ,95076,17,{F2E76378-A8D3-4D32-9979-C6C1B3537266},831-724-2590                  ,kristin.mosher51@att.net,WBT Tool,,Not Verified,,,144104.117276205,2015.56073146028
3720200,CA0800649,Water Service Area,CA0800649,MARGARET KEATING MAIN. & OPER.,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,143,A ,1979/03/22 08:00:00+00,L ,DEL NORTE,120,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,,,,,,2,{062E3C80-4648-45EC-8B06-3F2ED2B32306},707-464-0254                  ,nulphrobert@gmail.com,WBT Tool,,Not Verified,,,136995.41168966,1807.6929050446
3720201,CA0800608,Water Service Area,CA0800608,TREES OF MYSTERY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,144,A ,1976/01/01 08:00:00+00,P ,DEL NORTE,200,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,P.O. BOX 96,15500 HWY 101 N,KLAMATH,CA  ,95548,6,{D010F917-BA66-41CB-A2ED-40D89F4E3711},707-482-2251                  ,tofm@treesofmystery.net,WBT Tool,,Not Verified,,,1050289.50927706,4737.20536486861
3720202,CA4901165,Water Service Area,CA4901165,JEHOVAH S WITNESSES HALL,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,145,A ,1992/12/08 08:00:00+00,P ,SONOMA,650,DISTRICT 25 - MARIN,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,292 Millbrae Avenue, ,SANTA ROSA,CA  ,95407,1,{A4B1CF4B-D39C-41D5-AE87-6589DE03C992},707-695-3785                  ,sspencer@hotmail.com,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,14097.61839955,509.089411883388
